year,period,periodName,value,calculations.pct_changes.12,ID,area_name,laus_check,item_name
2006,M04,April,207.6,2.8,CUURS49DSA0L1E,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less food and energy
2006,M02,February,205.0,2.1,CUURS49DSA0L1E,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less food and energy
2022,M12,December,284.119,7.1,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2022,M10,October,287.282,8.9,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2022,M08,August,284.764,9.4,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2022,M06,June,286.704,11.3,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2022,M04,April,275.776,10.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2022,M02,February,270.678,10.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2021,M12,December,265.328,10.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2021,M10,October,263.816,8.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2021,M08,August,260.384,7.2,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2021,M06,June,257.609,7.9,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2021,M04,April,249.146,4.4,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2021,M02,February,245.606,2.0,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2020,M12,December,240.804,0.8,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2020,M10,October,242.62,1.5,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2020,M08,August,242.844,1.3,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2020,M06,June,238.818,-0.7,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
2020,M04,April,238.623,0.3,CUURS49DSA0L2,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma-Bellevue,All items less shelter
