year,period,periodName,value,calculations.pct_changes.12,ID,area_name,laus_check,item_name
2022,M11,November,320.702,7.0,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2022,M09,September,318.800,8.1,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2022,M07,July,315.841,7.0,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2022,M05,May,313.578,7.5,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2022,M03,March,310.311,7.3,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2022,M01,January,304.634,6.3,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2021,M11,November,299.723,5.3,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2021,M09,September,294.784,4.0,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2021,M07,July,295.211,4.3,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2021,M05,May,291.667,3.2,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2021,M03,March,289.240,1.3,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2021,M01,January,286.615,0.5,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2020,M11,November,284.622,0.4,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2020,M09,September,283.391,0.6,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2020,M07,July,283.175,0.8,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2020,M05,May,282.620,0.6,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2020,M03,March,285.544,1.8,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
2020,M01,January,285.181,2.2,CUURS11ASA0,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,All items
